state,month,totalCovid,totalDeath,totalHospitalized
Tennessee,20-Sep,41206,700,1855
Tennessee,20-Oct,64533,899,1573
Tennessee,20-Nov,113821,1249,1790
Tennessee,20-Dec,212309,2305,2435
Texas,20-Jan,604460,9054,0
Texas,20-Feb,283392,6445,0
Texas,20-Mar,46060,1556,0
Texas,20-Apr,24821,741,0
Texas,20-May,36200,890,0
Texas,20-Jun,95699,752,0
Texas,20-Jul,260960,4145,0
Texas,20-Aug,192023,5967,0
Texas,20-Sep,135998,3175,0
Texas,20-Oct,151629,2313,0
Texas,20-Nov,377836,3355,0
Texas,20-Dec,477740,6058,0
Utah,20-Jan,70012,396,2512
Utah,20-Feb,24611,270,1227
Utah,20-Mar,4501,46,269
Utah,20-Apr,3785,41,317
Utah,20-May,5125,67,385
Utah,20-Jun,12420,59,669
Utah,20-Jul,17979,132,933
Utah,20-Aug,11911,103,716
Utah,20-Sep,20935,52,754
Utah,20-Oct,41614,145,1616
Utah,20-Nov,81050,267,2672
Utah,20-Dec,80906,398,2821
Virginia,20-Jan,155195,1432,3368
Virginia,20-Feb,71271,2088,2706
Virginia,20-Mar,10900,1071,682
Virginia,20-Apr,14596,525,2123
Virginia,20-May,28761,823,2384
Virginia,20-Jun,18180,388,1560
Virginia,20-Jul,27101,411,1663
Virginia,20-Aug,30706,406,1703
Virginia,20-Sep,27677,628,1472
Virginia,20-Oct,32919,446,1563
Virginia,20-Nov,56645,408,2015
Virginia,20-Dec,111749,970,3422
Virgin Islands,20-Jan,367,1,0
Virgin Islands,20-Feb,248,1,0
Virgin Islands,20-Mar,97,0,0
Virgin Islands,20-Apr,36,4,0
Virgin Islands,20-May,3,2,0
Virgin Islands,20-Jun,15,0,0
Virgin Islands,20-Jul,322,2,0
Virgin Islands,20-Aug,728,6,0
Virgin Islands,20-Sep,184,6,0
Virgin Islands,20-Oct,58,1,0
Virgin Islands,20-Nov,168,2,0
Virgin Islands,20-Dec,487,0,0
Vermont,20-Jan,4553,38,0
Vermont,20-Feb,3233,30,0
Vermont,20-Mar,1178,17,36
Vermont,20-Apr,573,36,-36
Vermont,20-May,115,6,0
Vermont,20-Jun,229,1,0
Vermont,20-Jul,206,1,0
Vermont,20-Aug,201,1,0
Vermont,20-Sep,139,0,0
Vermont,20-Oct,439,0,0
Vermont,20-Nov,2101,11,0
Vermont,20-Dec,3116,67,0
Washington,20-Jan,69269,865,3135
Washington,20-Feb,28192,676,1613
Washington,20-Mar,10698,342,280
Washington,20-Apr,9133,539,0
Washington,20-May,7621,317,3480
Washington,20-Jun,11969,202,843
Washington,20-Jul,24516,244,1245
Washington,20-Aug,17284,341,1172
Washington,20-Sep,13259,219,743
Washington,20-Oct,21868,242,1039
Washington,20-Nov,64133,337,2237
Washington,20-Dec,66590,717,3812
Wisconsin,20-Jan,71702,1192,2948
Wisconsin,20-Feb,25227,580,1829
Wisconsin,20-Mar,5872,108,667
Wisconsin,20-Apr,6467,300,1175
Wisconsin,20-May,12512,276,1071
Wisconsin,20-Jun,11098,192,863
Wisconsin,20-Jul,25272,157,1191
Wisconsin,20-Aug,23634,189,1180
Wisconsin,20-Sep,48555,207,1483
Wisconsin,20-Oct,108747,755,4074
Wisconsin,20-Nov,173860,1402,5721
Wisconsin,20-Dec,108708,1748,4255
West Virginia,20-Jan,35667,686,0
West Virginia,20-Feb,10854,276,0
West Virginia,20-Mar,1752,26,0
West Virginia,20-Apr,956,40,0
West Virginia,20-May,892,34,0
West Virginia,20-Jun,895,18,0
West Virginia,20-Jul,3737,23,0
West Virginia,20-Aug,3608,98,0
West Virginia,20-Sep,5598,136,0
West Virginia,20-Oct,8612,107,0
West Virginia,20-Nov,23382,278,0
West Virginia,20-Dec,37492,603,0
Wyoming,20-Jan,7503,158,182
Wyoming,20-Feb,2482,75,98
Wyoming,20-Mar,479,11,26
Wyoming,20-Apr,450,7,39
Wyoming,20-May,344,9,29
Wyoming,20-Jun,584,4,32
Wyoming,20-Jul,1239,6,49
Wyoming,20-Aug,1116,11,49
Wyoming,20-Sep,2106,13,57
Wyoming,20-Oct,7350,37,167
Wyoming,20-Nov,20007,128,345
Wyoming,20-Dec,11104,223,318
