"GeoName","Quarter","curDollarGDP"
"Southeast","2019.Q3",4556884.3
"Southeast","2019.Q4",4598427.4
"Southeast","2020.Q1",4566003.6
"Southeast","2020.Q2",4154332.6
"Southeast","2020.Q3",4512856.6
"Southeast","2020.Q4",4579080.9
"Southwest","2019.Q3",2531923.7
"Southwest","2019.Q4",2549119.3
"Southwest","2020.Q1",2495938.3
"Southwest","2020.Q2",2244753.5
"Southwest","2020.Q3",2438087.8
"Southwest","2020.Q4",2497567.5
"Rocky Mountain","2019.Q3",769000.5
"Rocky Mountain","2019.Q4",778092.9
"Rocky Mountain","2020.Q1",773435.6
"Rocky Mountain","2020.Q2",706242
"Rocky Mountain","2020.Q3",766386.3
"Rocky Mountain","2020.Q4",781324.1
"Far West","2019.Q3",4347375.7
"Far West","2019.Q4",4421981.5
"Far West","2020.Q1",4400773.4
"Far West","2020.Q2",3992042.7
"Far West","2020.Q3",4322036
"Far West","2020.Q4",4380089.1
